ids,Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address,Avg Area Comfort
526,66112.53645,8.236623014,7.009803231,6.31,20795.15006,"$1,376,714.67 ","640 Carlson Tunnel
Port Jimmyhaven, NC 48866",
527,67047.181,6.44025247,6.699206813,2.08,37937.1943,Rs17249.958344882172,"08575 Kristen Circles
East Lisastad, PA 42221-4091",
528,89358.86602,6.147845579,?,,34063.60356,"$1,750,908.22 ","505 Adams Walk Suite 510
Aarontown, LA 91877",
529,50189.1408,6.925375603,5.1947819,3.3,35043.81895,Rs7410.818756572603,"8155 Danielle Circles
New Sherimouth, OR 62430",
530,73119.72041,7.058045773,7.146514915,5.44,35426.69013,"$1,578,829.01 ","523 Paula Drive
West Iantown, NV 50432",
531,67972.63008,5.496668278,?,,27865.33079,Rs12149.36224461479,"8689 Nathan Cape Suite 323
Davidshire, AR 24822",
532,71739.61218,6.571495853,7.719301234,5.18,37030.72731,"$1,628,751.93 ","97852 Julie Ridge
Colemanborough, NC 47602-0807",
533,67292.60387,5.611772057,6.867242299,2.11,41837.85872,Rs16605.346070810734,"40588 Kristi Divide Suite 657
Valerietown, VA 96820-3267",
534,70243.43512,6.21027074,?,,24647.90591,"$993,725.22 ","9702 Stephanie Street Suite 051
New Courtneyhaven, AZ 93784-4192",
535,78274.52643,4.910953601,8.621772096,4.08,56299.7726,Rs24214.655171192957,"889 Michael Springs Apt. 647
South Thomasburgh, MH 33971",
536,84332.50332,6.182493965,8.756044656,4.07,33107.34283,"$1,570,583.34 ","080 Coleman Park
Craigburgh, AS 18489",
537,79550.64138,6.637633898,?,,43636.50449,Rs21684.284279444793,"4126 Walker Meadows
Lake Derrickton, MD 06453-1751",
538,79698.22092,4.102335552,6.912506242,2.29,42046.3404,"$1,262,494.29 ","5142 Bond Rapids
Spencerhaven, NE 03017",
539,71188.83351,5.695897215,5.856581441,3.08,40656.12969,Rs15803.021564402432,"42039 Ashley Extension
Elizabethhaven, WY 73367",
540,74605.03536,6.872089194,?,,31638.22991,"$1,360,329.36 ","5577 Merritt Drive
North Brookeside, VA 14645-3679",
541,71222.59783,5.217987014,7.758415332,3.37,54677.97282,Rs18006.121540908985,"USNV Guerrero
FPO AE 55568",
542,80972.99647,5.470850799,6.913134346,2.22,48036.61012,"$1,556,987.72 ","042 Miller Expressway Suite 049
South Breannaborough, VI 77689",
543,51044.2917,6.067487348,?,,37730.00709,Rs11813.815060187826,"5327 Jack Fords
East Benjaminport, AS 22091-8691",
544,65066.54356,6.200391541,7.579479162,6.4,27940.28442,"$1,129,613.01 ","76952 Powell Road
Scottland, WA 13076-2686",
545,76259.82522,4.946107518,7.12451931,3.32,19262.61425,Rs14269.866928277199,"795 Kendra Summit
Jaredmouth, ND 92571",
546,77456.40573,6.394246586,?,,37997.54792,"$1,587,015.36 ","0287 Heather Centers
Thompsonborough, VA 47145",
547,75376.9516,4.227764832,8.182415082,3.26,25548.51424,Rs15284.287751990038,"8809 Michelle Groves Suite 767
North Kathleenchester, VI 79958-5109",
548,79674.43426,6.334673345,7.991329323,5.41,17862.7275,"$1,377,447.35 ","60818 Buckley Curve
South Walter, MT 25854",
549,64408.08587,6.311198444,?,,40817.89,Rs14847.61135851313,"09446 Julie Walk
Lake Justin, MI 49996",
550,67932.01032,6.77233639,6.222862551,2.16,51145.32062,"$1,593,836.79 ","4472 Gerald Dam Apt. 382
Ortizchester, MD 60839",0.467587911
551,75146.80359,4.454425782,8.509775274,6.1,55577.96645,Rs20809.95820918849,"38973 Jeanette Lock
Shafferville, RI 86582-2504",
552,55378.10435,7.044519672,?,,41416.97915,"$977,980.92 ","42298 Nguyen Creek
West Michelle, KS 42800",
553,78113.49969,4.844146012,6.747509818,2.41,43345.60758,Rs17234.565227956253,"377 Sean Radial
Alyssaville, KS 67805-4183",
554,81516.98657,5.397718982,8.504044902,5.24,33263.14435,"$1,458,912.58 ","61699 Taylor Lodge Suite 689
West Linda, CO 75760-0545",
555,70306.6799,6.792255503,?,,29572.38924,Rs13837.073060585371,"604 May Island
West Brenda, NE 03966",
556,91392.41934,7.320676246,7.498418863,6.24,33379.6764,"$1,792,254.82 ","52423 Christensen Lakes Apt. 063
Lanehaven, TX 43151-6951",
557,51110.93411,6.068556846,6.906695715,2.1,38408.27206,Rs11762.270912654407,"45611 Cuevas Prairie
Brendamouth, OH 02630",
558,99629.01358,5.431862976,?,,36950.73906,"$1,883,481.08 ","PSC 0420, Box 6835
APO AE 08359",
559,72656.92618,6.652657092,6.231167774,3.06,38568.07963,Rs16914.671479109114,"46960 Aguilar Skyway Apt. 043
North Charleshaven, WA 21673-4970",
560,71938.00237,5.139113766,7.572943157,3.17,20097.1385,"$1,157,189.44 ","004 Mary Landing
Noahmouth, VA 94749-4193",
561,69503.15045,5.258393115,?,,45266.52944,Rs15746.524320351273,"8720 Anderson Causeway Apt. 812
Moralesview, TN 52369-9594",
562,75287.52728,6.796332429,8.493990921,3.29,39219.52988,"$1,813,043.93 ","458 Jonathon Plains
Clarkside, PW 13227-6404",
563,56753.73014,4.945615214,6.240884739,2.04,52718.24234,Rs11555.54740498506,"296 Jones Mountains Apt. 854
Brownburgh, WI 19676",
564,78044.35165,5.686293112,?,,43771.64636,"$1,671,350.14 ","24545 Aaron Coves
Fieldshaven, WV 94273",
565,74838.65747,5.919090479,7.543276404,6,23637.25637,Rs15166.234476899719,"43929 Valerie Forest
Terrellton, DE 21808",
566,51580.09906,6.446352759,5.070184059,4.24,37511.33915,"$711,499.24 ","5731 Gallegos Crossroad
Walshburgh, NM 20508",
567,85260.65515,7.578855091,?,,52358.79317,Rs25869.27164763986,"154 Cassandra Junction Apt. 200
South Lynnfort, WV 03030-1329",
568,49733.31051,7.817418542,9.410156957,4.18,43558.8253,"$1,496,466.36 ","790 Perry Motorway
Greenmouth, VA 65766",
569,76751.88142,5.255407345,8.205980045,3.16,32295.76549,Rs19319.93486193124,"3793 Marilyn Junctions
Erinmouth, AK 45337-0177",
570,64595.71155,5.857966088,?,,29668.87669,"$924,271.79 ","85304 Ramos Plaza Suite 734
Lake Ethan, SD 63811-2590",
571,88794.59963,6.323865593,7.060329951,6.11,37994.97385,Rs23293.394436787024,"22109 Parker Green Apt. 323
Graytown, IA 19584-3525",
572,69909.07866,6.434539658,8.301310137,4.05,39347.13568,"$1,576,286.21 ","097 Vanessa Manor Apt. 486
Brandonchester, NH 78706",
573,89908.77306,7.030649618,?,,37295.99683,Rs22830.409407144998,"582 Kimberly Courts Apt. 379
Knightfurt, MA 52525",
574,76278.75269,7.11005271,7.340614471,4,49250.7059,"$1,852,375.51 ","22801 Skinner Isle
Mooretown, TN 01957",
575,55405.12012,8.334376723,6.084508514,4.38,18257.14925,Rs13434.613900997729,"871 Kimberly Ports Suite 157
West Patricia, NH 03110",0.467648999
576,68270.75669,5.675103554,?,,31159.28871,"$1,034,779.19 ","2530 Willis Plains
Michaelville, ID 35987-0000",
577,71275.3149,6.311996291,6.40694457,4.45,28922.95889,Rs13420.593687985021,"6994 Elizabeth Spur Suite 235
West Jeffreyside, DE 48010-1597",
578,53079.79601,5.24116251,6.393980784,2.33,33083.43471,"$736,798.53 ","47510 Blackburn Fields
Lake Davidborough, TN 94944-7693",
579,66690.97247,6.801245634,?,,22619.11464,Rs14786.750498224115,"99274 Sawyer Loop Apt. 575
South Nathaniel, GU 86101-2181",
580,61644.17361,7.163657225,7.75175405,5.17,27809.13508,"$1,384,140.23 ","PSC 9115, Box 6211
APO AA 90999-6054",
581,80015.54973,6.14098961,8.848999368,3.15,52469.76545,Rs27798.45053869895,"728 Willie Radial
Yorkstad, IN 28387",
582,62591.86149,5.308936928,?,,32210.42844,"$801,194.62 ","06826 Bradley Loaf
Brittanyport, SC 61251-5917",
583,70673.84254,6.204022608,5.877785179,3.06,58256.11476,Rs18829.903396365047,"5097 David Radial Suite 697
Lake Juliestad, PA 45160",
584,82535.28052,7.250403733,7.506903351,4.14,43272.31005,"$1,890,789.18 ","1281 Peterson Springs
West Brookefort, DE 52618",
585,82610.44538,5.879915504,?,,34880.77042,Rs24558.72324365387,"3847 David Circles
Lake Kristichester, MH 60325-0465",
586,84776.70849,6.077935134,7.131393662,6.31,26952.55681,"$1,467,075.17 ","7588 Anthony Parkway Suite 702
Moranville, AS 64015-9416",
587,51918.54687,5.892496999,6.708809212,3.37,24734.40652,Rs8813.911420193255,"476 Jacqueline Fields
West John, GA 54419",
588,68858.03162,5.527126902,?,,28846.95052,"$978,035.34 ","1027 Blair Viaduct Apt. 415
Port Tamihaven, KY 49759-0002",
589,53418.53531,6.334282673,8.424079331,4.01,33572.74697,Rs16678.430556760886,"USS Robinson
FPO AE 47460-2918",
590,70696.40245,6.515076987,5.87583185,3.33,43313.16512,"$1,409,238.80 ","1098 Patterson Passage Apt. 935
East Jessicaburgh, IN 87581",
591,70902.30487,5.613920924,?,,36768.63393,Rs15503.288281084784,"9874 Scott Unions Suite 367
Nguyenborough, PR 29909-1595",
592,62043.17585,5.824410874,7.043611453,6.44,23249.82461,"$878,862.75 ","1293 Jones Lane Apt. 214
Nelsonville, RI 33413-0734",
593,61411.41703,5.669181494,7.091345492,3.29,49175.33938,Rs17845.663844895327,"USNV Shepherd
FPO AE 34548",
594,58293.43194,5.709771696,?,,45033.389,"$1,094,347.97 ","17568 Pena Port Apt. 211
West Joseph, PW 61547",
595,70851.59901,6.232564644,6.900568875,4.07,27024.98663,Rs15945.303206972207,"5821 Kelly Ferry
Deborahtown, PA 82936-6211",
596,65669.98453,4.73235732,8.105671724,5.05,40115.76381,"$1,050,239.90 ","441 Robinson Landing
Richardstad, NE 77920-7065",
597,64823.01584,5.079006175,?,,36481.32775,Rs12189.750564090526,"754 Williams Ports
Kellyhaven, MA 73748-7863",
598,68363.25907,6.30636892,6.35862933,3.35,20667.90293,"$864,483.76 ","03675 Gallegos Spur Apt. 390
Johnsonfort, MP 70097",
599,70596.85095,6.548274287,6.539985895,3.1,51614.83014,Rs21326.386475526357,"0032 Turner Ridge
South Thomas, WA 66562-5367",
600,67947.39745,7.097452091,?,,35681.15262,"$1,336,356.23 ","6376 Jackson Key
Jonesshire, AZ 55526",0.781709616
601,96807.43691,6.182167977,7.301723912,5.07,29269.13734,Rs24111.21954222312,"1388 Logan Ports
North Johnstad, SD 46743",
602,66733.63181,7.402303153,7.219763304,3.27,35193.2115,"$1,424,283.37 ","5170 Dakota Meadows
Grossshire, IL 63959-6036",
603,80665.00157,5.69805435,?,,40952.01693,Rs19623.995684052312,"3109 Campbell Highway
Port Paulfurt, WA 67614",
604,75378.62764,6.596081195,7.103157515,4.15,28300.6076,"$1,347,622.48 ","9552 Brittany Estates
South Douglasmouth, AZ 87584",
605,65198.94339,7.1079515,7.61216851,5.1,23580.86919,Rs15516.555444010866,"17880 Briana Parkways Suite 157
West Blakeview, MI 29268-0734",
606,78739.2246,6.528647477,?,,28884.04164,"$1,450,624.52 ","16110 Ashlee Lock
Solomonchester, OH 75313-3236",
607,66697.53134,6.532590685,6.014092419,3.12,25896.99089,Rs13097.307154127222,"USS Maynard
FPO AE 60758-7254",
608,58822.04321,5.131804628,8.500956441,5.28,34141.83201,"$868,314.47 ","153 Adams Place
Jessicaton, SC 29102",
609,75093.95694,5.624360626,?,,27247.95256,Rs16420.159082103295,"0824 Cox Centers
East Danielstad, LA 78947",
610,68709.27916,5.118864117,6.449323694,4.34,16668.26686,"$663,128.84 ","427 Brittany Point Apt. 285
Edwardhaven, TX 40439-5255",
611,68192.53017,5.75933535,6.194613051,3.17,46821.31972,Rs16139.955000599037,"98894 Michael Landing
Gonzaleztown, TX 16625",
612,84090.36174,6.419298756,?,,25127.54884,"$1,409,033.07 ","503 Edward Bypass Suite 138
Chambersborough, OR 12706-9089",
613,69277.75898,5.322269839,7.206177863,5.32,57408.31289,Rs18085.1289002227,"1401 Martin Drive Suite 582
South Dennis, NE 67169",
614,63833.38804,6.93008843,5.722587426,4.06,28928.91819,"$1,125,476.20 ","748 Russell Unions
East James, RI 35745",
615,70698.78409,6.746762462,?,,22987.66824,Rs15066.344228238566,"1220 Ann Stravenue
East Lisa, FM 01139-3975",
616,68258.10605,4.425809431,7.487692924,6.35,36205.14863,"$1,003,642.63 ","239 William Way
Ericton, IN 58422-1731",
617,62699.43922,6.358746643,7.460134655,4.28,37816.3377,Rs17418.2374751669,"0454 Humphrey Forks
North Paulville, NJ 17081",
618,76933.60611,8.540364464,?,,33433.33877,"$1,775,874.76 ","7504 Wilson Lake Suite 052
Hallfort, RI 91245",
619,65959.78116,6.666783161,6.08764965,3.42,29803.17135,Rs13822.469877531905,"246 Cameron Meadow Apt. 767
South Maryfurt, PA 02596-5120",
620,78020.03953,7.042713319,6.573968615,2,49601.23864,"$1,869,929.20 ","35483 Patrick Trail Suite 303
North Jeremy, GA 11382",
621,69559.4963,6.520454687,?,,42013.7324,Rs18414.476390439733,"PSC 8601, Box 1581
APO AA 41916-7543",
622,90890.48581,7.510170525,7.595486546,6.21,45519.25627,"$2,252,243.34 ","05117 Williams Isle
Mariaton, DC 32652-0435",
623,56901.09377,6.805948234,6.474248437,3,13704.35075,Rs10493.861929058912,"484 Adrian Circles
Aprilberg, OH 84325-9197",
624,59206.16527,6.043693161,?,,28805.35549,"$957,283.66 ","0200 Webb Ports
South Alyssaville, FM 52001-5170",
625,65302.37247,5.89459679,5.842130449,2.49,43818.67866,Rs15649.270558013699,"79816 Jones Glen Apt. 117
Richardland, TN 90546-5133",0.600039173
626,86369.24033,7.126819682,4.807452587,3.4,43683.30256,"$1,713,161.70 ","0267 Martinez Divide
South Brianport, PW 60170",
627,71499.91566,6.024763926,?,,41870.90839,Rs17673.379387769037,"6034 Stevens Key
Jessicabury, ID 53712",
628,69312.98192,6.611320094,7.562436938,3.27,44237.12104,"$1,501,497.53 ","0229 Andrea Lane Suite 680
Ashleytown, AS 08599-9593",
629,77797.39496,7.440520777,6.229360043,2.06,33847.01451,Rs20981.069784460327,"4595 Moody Plains Suite 844
East Christopherhaven, OH 04150-4444",
630,55631.29777,5.349931577,?,,30884.45099,"$693,566.76 ","583 Barker Point
Adamsport, MP 05206-8557",
631,70836.01135,7.0712945,5.988527098,4.49,37047.88256,Rs20327.82382955601,"Unit 5864 Box 4435
DPO AA 82418",
632,62152.60603,7.034052002,5.569340161,3.17,42785.08178,"$1,048,818.21 ","35191 Perez Lakes Apt. 571
Lawrencefurt, WV 74353",
633,66919.91548,6.371179256,?,,38858.87649,Rs17476.85482510592,"54032 Davis Prairie Suite 029
Walkermouth, TX 13603",
634,79868.12243,4.455360136,7.40360063,5.05,54228.0749,"$1,537,329.57 ","3186 Michael Glen
New Cody, FM 50294-1790",
635,73145.4597,6.426441855,6.708181952,2.19,41209.03078,Rs16598.418176555846,"360 Cook Road Suite 265
Obrienmouth, OK 05534-6066",
636,54535.45372,5.278065149,?,,30852.20701,"$732,733.24 ","146 Christopher Lights Suite 182
New Kathyside, NC 68483",
637,72240.12696,4.7702735,8.599319668,4.19,25012.86978,Rs14610.755012660398,"0079 Paige Junction Suite 813
South Grace, MT 18138-9365",
638,47266.34392,5.414565601,5.379363225,3.4,33421.95541,"$476,006.44 ","1190 Jeffery Key Suite 654
Warrenside, NC 21795-9556",
639,82551.53961,7.746032249,?,,40086.08586,Rs21332.15156753113,"USNV Murphy
FPO AE 22020-0133",
640,72232.36595,5.791634958,8.460741393,3.37,49668.50107,"$1,675,825.72 ","9067 Flynn Mills Apt. 904
North Stevenland, WY 91580",
641,71624.58537,5.646393371,7.438335529,6.03,29089.78359,Rs15678.25332281228,"9822 Theresa Spur Suite 629
North Vicki, AR 88326",
642,71670.4485,6.630034548,?,,31709.34046,"$1,135,079.35 ","6055 Theresa Knoll
South Garrett, FM 08472",
643,86157.17573,4.986312079,6.475843395,2.28,62963.75539,Rs24442.78105543962,"1427 Jennifer Landing
Blairfurt, TX 86287-9948",
644,82416.13226,5.379463351,7.148236136,3.41,15290.31706,"$1,120,349.77 ","97242 Kayla Forges
Smithfurt, MA 85494",
645,69566.74303,5.784637307,?,,37491.14691,Rs14409.81312092283,"532 Tanner Forest
North Andrew, UT 94792",
646,66684.34727,5.553655007,6.965764486,2.04,37226.30715,"$1,168,574.67 ","8961 Guerra Motorway
Stephensburgh, AR 59803",
647,71743.48382,8.182597765,7.658973254,5.01,44674.89103,Rs25595.9097399176,"06874 Scott Causeway
Melissastad, FL 21288-1643",
648,55473.73632,6.368083311,?,,48021.89287,"$1,466,605.77 ","USS Steele
FPO AE 47380-9293",
649,66261.61649,7.116363924,7.766273201,6.03,26264.32179,Rs16453.829812448803,"2843 Benjamin Lights
West Stacy, NJ 76379",
650,65380.31624,7.525690557,7.346028356,6.15,21641.4762,"$1,269,486.34 ","4896 Sandoval Plaza Suite 098
New Robertchester, KY 58588-4690",0.50046346
651,73431.52793,6.373574216,?,,31148.10331,Rs15681.490510608399,"736 Juan Fall Suite 950
Christianmouth, MS 32548",
652,76169.72844,5.772571885,6.429240597,2.23,50352.41648,"$1,371,298.42 ","388 Hudson Views Suite 672
Dylanshire, GA 06408",
653,72630.65101,5.368865349,7.193351833,5.34,34119.16671,Rs16620.121869748236,"8592 Tanner Junctions
Port Patriciastad, OR 41830-1527",
654,64601.80273,6.035878341,?,,24117.45838,"$1,020,268.85 ","18780 Park Locks
West Douglasborough, DE 70878-3747",
655,55995.00731,7.797744345,7.03104064,3.5,20895.67945,Rs15072.20546022475,"43116 Taylor Drives Suite 771
North Michael, TX 96312",
656,58301.73272,4.923842083,8.058463315,6.39,32759.44783,"$890,559.86 ","USCGC Harris
FPO AE 57943-1887",
657,66579.51999,7.861372123,?,,35826.71023,Rs18895.44716527439,"463 Green Street Apt. 202
Alicefurt, MP 05063",
658,73829.77774,6.130262508,6.182842582,3.5,51385.52324,"$1,376,492.92 ","PSC 8985, Box 4540
APO AP 99342-8231",
659,86640.8016,6.047921744,5.652140784,3.03,22432.13983,Rs17416.0948091061,"542 Fleming Lakes Suite 229
Lake Jenniferborough, OK 25958-8585",
660,80535.00342,5.659574664,?,,25691.68458,"$1,275,208.58 ","8664 Barbara Ways Suite 599
East John, TX 89790-2123",
661,51474.30702,5.572671932,7.50901234,5.11,38952.18917,Rs12033.612533781381,"086 Pham Plains
Michaelhaven, TN 89309-1566",
662,69333.68219,5.924392329,6.542681826,2,17187.11819,"$872,312.17 ","675 Baldwin Well
Larsenside, PR 93064-3226",
663,55554.79675,5.849590798,?,,44903.44532,Rs13260.227271135107,"206 James Point
Leslieville, NV 63556",
664,64055.28418,7.552890547,7.337229454,5.21,27804.60516,"$1,289,008.22 ","Unit 7578 Box 5315
DPO AP 21782",
665,76811.40182,7.932389745,7.3729051,4,27770.24891,Rs21466.754727839652,"338 Karen Prairie Apt. 341
Murphymouth, MI 56611",
666,78030.06933,7.070276512,?,,42432.70958,"$1,843,720.65 ","838 Hunter Mountains Apt. 655
Lake Jessicashire, TN 18218",
667,76921.67563,7.397609154,7.097598214,4.47,44920.65789,Rs25225.991304444815,"935 Norris Walks
New Joshua, PA 84565-5279",
668,63833.84316,5.667070098,7.983210474,5.28,34481.67331,"$1,451,078.09 ","USCGC Johnson
FPO AA 08988",
669,69120.09299,6.724576165,?,,36631.92686,Rs19759.21015343845,"Unit 6352 Box 4009
DPO AE 83854-5561",
670,65454.97423,4.443153288,8.005585409,3,47740.63899,"$1,144,477.88 ","18153 Michelle Street Apt. 150
North Julieburgh, CT 81526-8507",
671,53067.1696,7.798946099,7.226648713,5.21,46132.75451,Rs17065.94013557359,"55158 David Garden Suite 849
Joshuashire, NH 08358",
672,59519.20835,6.160150424,?,,42176.86419,"$1,193,021.31 ","53197 Rowe Brooks
Anthonybury, DC 36875",
673,64724.68649,7.225162105,4.869230945,4.41,43833.66369,Rs15561.588117822117,"11769 Vaughan Lakes Apt. 083
East Daniel, VI 57715",
674,83936.74963,6.689880078,5.584221042,2.15,25569.36831,"$1,225,612.76 ","065 Christine Stream
Lake Sarah, NY 49190",
675,70298.13952,6.579477075,?,,33457.74573,Rs15088.252178197929,"21680 Jeffrey Heights Apt. 199
Davismouth, ND 55667-5634",0.692845854
676,79337.32565,6.261758249,8.296472748,3.21,41521.38461,"$1,697,501.60 ","8538 Johnson Lodge
West Sharonberg, NJ 82474-6273",
677,63578.82315,5.783592751,7.172294917,3.17,42322.61326,Rs18206.625134558388,"USCGC Anthony
FPO AE 75578-8273",
678,65124.65602,4.886833901,?,,19161.7809,"$622,449.65 ","6859 Brown Forges Apt. 352
Schultzstad, VT 26911",
679,84364.70733,4.698058035,7.107708222,3.46,50521.10423,Rs20681.264199708297,"8285 Thompson Spring Apt. 597
East Stephanie, NY 77685",
680,76287.4682,6.654227602,4.985136207,2.27,35212.74388,"$1,299,126.83 ","USS Jones
FPO AP 83668-4924",
681,56433.01085,6.479053952,?,,46058.86914,Rs17204.328648265997,"4025 Roberson Turnpike Suite 615
Brianburgh, TN 31726-6186",
682,83406.74332,5.280738899,7.341589191,6.29,25350.73547,"$1,183,884.01 ","32631 Lucero Trafficway
Joshuaborough, WI 15469-7710",
683,74867.50582,5.568082321,8.426960904,4.42,33768.51285,Rs17412.45766404033,"98193 Pierce Crest
Lake Michaelfurt, KY 99821-3879",
684,55698.37442,6.957262275,?,,49506.83061,"$1,279,117.97 ","PSC 6252, Box 5970
APO AE 99235",
685,59575.62144,4.030105163,6.979466291,3.35,37153.85262,Rs10487.453664677862,"54194 Richard Mall
Johnfurt, SD 79157",
686,69605.56602,7.58863366,7.400270375,3.07,35427.14865,"$1,588,196.23 ","74421 Horton Manor Apt. 121
Lake Edward, SC 75278",
687,67663.97161,4.661541159,?,,30546.448,Rs13021.986888115478,"567 Gomez Hills
Amyville, NM 92900",
688,75354.4149,6.77431736,7.36243939,3.35,21574.47109,"$1,250,866.57 ","7844 Juarez Green
Melissaview, KS 67281",
689,63750.21601,5.525518295,6.941237828,3.03,40582.00027,Rs13955.02736247416,"17488 French Prairie Suite 496
East Williamburgh, GU 44258-8729",
690,72263.21441,5.91722707,?,,28428.30127,"$1,115,935.28 ","60205 Tammy Corner Apt. 791
West Lisastad, HI 54302-1058",
691,69246.15092,5.763367118,6.492639033,2.24,35005.79155,Rs14370.847906595267,"451 Pratt Walk
West Josephchester, OH 68420-3256",
692,65465.53989,5.809591752,6.735937383,3.38,31297.52713,"$1,047,689.27 ","88878 Ramirez Street
Fordville, NV 54980",
693,107701.7484,7.143521708,?,,37619.43993,Rs31094.809868325454,"41017 Eric Village
Jonathanport, CO 37205",
694,58829.37333,6.846644529,6.462523336,3.2,31236.58232,"$956,435.26 ","8136 Lopez Cove Suite 606
Thomasview, MD 87052-0869",
695,94650.54944,7.191396842,7.354176826,5.15,27797.78112,Rs25234.98061205621,"3232 Martinez Spurs Suite 594
Paulview, IL 73971-9525",
696,49851.13478,4.684995683,?,,32511.84627,"$283,208.13 ","03837 Burton Run Apt. 741
North Casey, HI 32920",
697,61522.93112,6.154820119,8.70703545,6.46,30398.57294,Rs15680.285006158283,"249 Wall Stream Suite 514
Lake Cynthiaville, WY 10462",
698,59082.00095,4.980779889,6.77289269,3.43,33462.67269,"$783,818.68 ","776 Shawna Port Suite 508
Burkeshire, DE 16725-8223",
699,80732.1713,8.151365564,?,,28954.69773,Rs21676.040996609292,"4131 Jones Neck Apt. 808
Lake Jamesmouth, VI 37688",
700,88222.04239,6.986028567,6.879693934,2.15,34795.32008,"$1,961,846.91 ","9951 Kevin Knoll Apt. 557
Piercefort, CT 70599",0.262813055
701,70651.68514,5.47517822,5.740486568,2.26,35339.56993,Rs14460.747055738755,"70172 Harding Burgs
New Elizabeth, GA 31809-6568",
702,79289.10799,6.045377972,?,,41321.11197,"$1,428,247.07 ","99993 Miller Mall
North Shelbyview, CO 19948-1105",
703,73969.66467,6.446537103,8.216773467,6,39663.85423,Rs21799.277433462416,"23210 Vaughn Plaza
Patrickview, FM 32471-7299",
704,62857.07813,5.060886422,5.861576421,4.17,48339.9406,"$915,992.56 ","2061 Edward Circles Suite 191
Lindseyborough, GU 82013",
705,72991.48165,3.412865926,?,,50626.49543,Rs13898.313654614432,"0618 Richardson Mountain Apt. 253
Jasmineport, DC 78574",
706,62794.96597,4.206346468,8.480848339,5.33,31162.06331,"$879,618.32 ","54038 Warner Mall Suite 306
Sarahmouth, SD 61528",
707,71806.36195,5.725585477,6.220975939,2.45,47563.23158,Rs16139.089118637961,"13963 Anderson Fork
Port Dawnside, NV 79521",
708,69584.65691,5.367761195,?,,17045.80773,"$1,059,262.04 ","27634 Bell Mission Apt. 748
Whiteshire, FM 13329-8305",
709,62357.03095,6.725271357,7.126592432,5,23382.53939,Rs12965.570785510341,"PSC 9682, Box 5865
APO AA 11465",
710,59716.73664,5.447704768,7.336633321,5.06,41273.00907,"$1,242,979.15 ","7099 Shane Trail Apt. 259
Pinedaborough, GU 91864-3525",
711,71093.69196,5.874953196,?,,37143.39873,Rs14624.61448657727,"19371 Laura Mountain
South Sergioshire, PA 45947",
712,76336.06984,5.575612395,8.032757197,3.45,37258.19982,"$1,392,685.29 ","69486 Brenda Island Apt. 827
Sarahborough, CT 52727",
713,54762.0543,3.802598991,7.554406493,5.47,58460.27986,Rs14406.198022447012,"84075 Jeffrey Tunnel
South Amymouth, KS 13318-7131",
714,61666.1515,5.77058657,?,,34605.02957,"$821,413.19 ","4484 Estes Bypass
Bradleystad, FM 70703",
715,92280.49747,7.258627482,8.222633273,4.31,38004.14521,Rs29837.04034271958,"9032 Hernandez Passage
Lake Karenstad, NY 24477-7673",
716,74312.89823,5.543698858,7.957794538,3.22,43906.74417,"$1,518,319.64 ","067 Lucas Walks Suite 450
East Marcland, VI 00144-8724",
717,70026.92525,6.078591256,?,,38102.46556,Rs20047.36275017457,"171 Wayne Flat Apt. 324
Bartlettside, IL 19674",
718,68524.19436,6.312452422,5.564721388,2.05,48112.39408,"$1,219,154.40 ","85915 James River
Leblancfort, TN 61922-6111",
719,87927.96606,5.586270688,4.7844429,2.13,34724.16282,Rs17016.786910961346,"01358 Barton Ranch
Lawrenceborough, SD 60884-8281",
720,74082.02275,6.757647964,?,,32617.47347,"$1,400,496.66 ","4120 Jason Path
Lake Rebeccafort, ME 80907-9585",
721,72245.3376,6.094814233,5.870545006,2.01,25508.78544,Rs15028.996167277566,"271 Larson Corners Apt. 496
Andreaburgh, TX 00062",
722,63555.45973,5.223108351,7.528388439,3.16,41839.48396,"$1,251,663.85 ","502 Willis Village Apt. 935
Port Lawrence, IN 49301",
723,74170.66239,5.853493968,?,,40719.23735,Rs19591.397097763213,"158 Christina Junctions Suite 137
North Justin, HI 69723-6199",
724,70005.69443,4.915490826,7.387976068,4.3,25136.21543,"$946,556.26 ","93827 Gonzalez Rest Suite 278
Luisville, MH 13877-8429",
725,67547.87107,6.524721338,7.381224842,4.18,28131.71902,Rs15342.114602174932,"639 James River Suite 931
West Denise, KY 32288",0.687553448
726,61776.61566,6.834478651,?,,27970.52173,"$1,325,819.91 ","999 Lewis Fork
South Stephanie, WV 50293-8967",
727,69200.66427,5.609022494,6.571301756,4.28,31085.32304,Rs15334.585184881955,"976 Tamara Course Suite 169
South Donna, MP 27394-3313",
728,66887.15243,6.032404649,7.397905268,3.35,23806.23576,"$1,009,142.34 ","652 Debra Ramp Suite 784
Port Stefanieside, KY 51547",
729,83201.02149,6.375424294,?,,43837.42476,Rs22737.0158608998,"45434 Craig Shore
West Justin, AK 33316",
730,59944.64516,5.573279881,8.019014599,4.19,28999.12825,"$829,794.82 ","4788 Kristen Bypass Suite 131
West Michael, SC 22980",
731,53676.37215,6.017914884,6.709152749,2.31,47027.06248,Rs13952.568459655153,"7655 Weber Square
New Jaclyn, MT 85582",
